,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
0,25,670103,Raymond Burgos,25,1932.0,87.1,86.22,5.87,14.3,1,14.3,5.81,2.38,24.3,0
1,1266,687863,Porter Hodge,1266,2510.0,90.6,92.18,7.23,29.7,36,11.6,5.67,-2.77,40.6,0
2,176,672552,Jack O'Loughlin,176,2225.0,86.6,86.71,6.42,12.8,5,10.6,5.89,1.34,34.0,0
3,374,592614,Dillon Overton,374,2113.0,84.6,83.84,5.83,10.9,2,2.0,5.82,1.93,,0
4,193,642759,Julian Fernández,193,2251.0,96.1,96.76,6.55,17.0,6,11.3,6.17,-2.13,43.2,0
5,3368,663986,Trevor Stephan,3370,2245.0,91.1,91.69,6.58,27.7,71,8.5,5.77,-1.94,35.9,0
6,4138,621366,Ryan Borucki,4139,2215.0,88.4,88.59,6.42,19.7,92,8.5,5.74,2.3,29.3,0
7,13425,621111,Walker Buehler,13526,2474.0,91.2,91.32,6.3,24.4,243,7.1,5.71,-1.06,47.1,0
8,20,493114,Norichika Aoki,20,1948.0,75.4,74.21,5.44,0.0,2,33.3,5.36,-1.98,,0
9,11576,623167,Chris Flexen,11576,2149.0,87.1,86.94,6.14,16.2,251,8.3,6.8,-0.65,68.0,0
10,111,643532,Sterling Sharp,111,1894.0,86.7,87.79,6.96,10.3,5,17.2,5.33,-2.54,26.0,0
11,1156,686993,Justin Sterner,1157,2531.0,89.7,89.66,6.47,26.2,19,6.7,5.46,-2.95,35.5,0
12,4520,592644,Adam Plutko,4522,2332.0,87.6,86.98,5.85,17.1,79,6.8,6.12,-1.67,47.0,0
13,2182,656353,Tucker Davidson,2182,2114.0,87.8,87.95,6.33,16.9,66,11.1,6.19,1.61,58.7,0
14,1586,664129,Geoff Hartlieb,1586,2400.0,91.2,91.5,6.34,20.0,60,14.8,5.92,-2.28,36.2,0
15,496,657272,Erich Uelmen,496,2174.0,89.8,90.41,6.73,17.1,13,10.1,4.64,-3.39,17.9,0
16,1411,624586,James Hoyt,1414,2285.0,87.3,87.15,6.11,30.4,31,8.8,6.34,-1.97,37.2,0
17,28,664034,Ty France,28,1883.0,79.0,77.46,5.41,0.0,0,0.0,5.76,-1.23,,0
18,2741,594965,Daniel Ponce de Leon,2741,2321.0,90.3,89.7,5.93,24.0,78,12.3,6.6,-1.44,48.7,0
19,1856,644364,Víctor Arano,1864,2366.0,88.8,88.46,6.01,25.5,31,6.4,5.84,-1.85,41.9,0
20,7954,592773,Ryne Stanek,7958,2115.0,94.1,93.35,5.95,27.3,218,11.2,6.41,-0.62,46.5,0
21,7456,519151,Ryan Pressly,7515,2765.0,89.8,89.33,6.02,29.2,128,6.6,6.02,-0.52,56.8,0
22,6766,543766,Bryan Shaw,6769,2409.0,91.1,90.2,5.57,20.7,164,9.5,6.07,-2.95,44.4,0
23,248,592831,Konner Wade,248,2071.0,86.4,84.96,5.33,17.5,4,6.3,5.98,-1.56,30.1,0
24,3859,624522,Keegan Thompson,3859,2483.0,89.7,89.7,6.18,23.0,109,11.1,5.77,-1.76,40.6,0
25,2802,623433,Nick Anderson,2802,2122.0,89.6,89.09,5.98,30.4,45,6.5,6.5,-0.71,49.8,0
26,1606,676775,Keaton Winn,1636,1945.0,91.7,91.56,6.2,20.5,29,6.5,6.21,-1.53,39.7,0
27,12067,624133,Ranger Suárez,12067,1878.0,87.3,87.13,6.22,22.1,233,7.3,5.85,2.11,39.1,0
28,1278,623470,Jake Newberry,1278,2415.0,88.7,87.94,5.69,22.0,38,12.1,6.28,-1.9,45.0,0
29,39,668874,Blair Henley,39,2348.0,87.2,87.67,6.71,0.0,3,33.3,5.35,-2.17,29.9,0
30,2195,682227,Brandon Williamson,2195,2212.0,88.0,87.48,5.94,20.0,44,8.0,6.55,0.98,45.2,1
31,1471,676840,Matt Peacock,1472,2176.0,91.3,89.71,5.34,13.1,27,6.3,5.67,-1.25,33.7,0
32,18357,605135,Chris Bassitt,18377,2158.0,86.9,86.87,6.28,22.7,346,7.3,5.58,-1.5,37.4,0
33,1027,642564,Francis Martes,1027,2423.0,91.2,91.01,6.05,28.0,28,11.4,5.71,-0.79,,0
34,2657,571704,Ken Giles,2673,2340.0,92.3,90.41,5.3,32.8,50,7.2,6.08,-2.13,36.0,0
35,2061,430912,Matt Cain,2083,2369.0,84.5,82.63,5.17,13.4,43,7.7,5.98,-2.43,,0
36,277,694646,Chayce McDermott,277,2232.0,88.7,89.22,6.68,17.4,14,20.3,5.78,-1.2,42.9,0
37,338,683618,Edgardo Henriquez,338,2534.0,96.5,97.3,6.65,25.0,7,7.6,5.92,-1.66,42.6,0
38,41,592527,Michael Mariot,41,2280.0,87.7,87.2,5.96,15.4,1,7.7,6.15,-2.06,41.8,0
39,817,663989,Nick Vespi,817,2381.0,85.7,84.88,5.77,21.1,11,5.0,6.37,2.44,47.5,0
40,226,599998,Leonel Campos,226,1980.0,89.0,87.98,5.66,25.0,8,13.3,6.42,-0.45,,0
41,2157,543734,Chris Rusin,2159,2214.0,88.1,86.74,5.31,19.9,47,7.8,6.05,1.89,30.8,0
42,1369,607391,Chris Mazza,1371,2101.0,87.0,87.84,6.81,18.5,32,9.0,5.37,-2.84,27.1,0
43,10704,527054,Julio Teheran,10722,2293.0,86.5,86.39,6.12,20.0,263,9.6,4.97,-2.31,23.7,0
44,338,683618,Edgardo Henriquez,338,2534.0,96.5,97.3,6.65,25.0,7,7.6,5.92,-1.66,42.6,0
45,28,676609,José Caballero,28,1716.0,72.9,71.74,5.87,0.0,1,11.1,5.74,-2.38,41.5,0
46,23717,592332,Kevin Gausman,23849,2043.0,89.9,89.92,6.38,25.3,399,6.6,5.88,-2.43,38.4,0
47,117,645307,Ricardo Sánchez,117,2221.0,87.0,87.21,6.44,14.8,5,18.5,5.54,1.67,42.1,0
48,3140,621249,Duane Underwood Jr.,3141,2040.0,90.0,90.28,6.44,21.6,71,8.6,6.18,-2.15,47.7,0
49,4700,543208,Sam Gaviglio,4704,2028.0,85.7,85.88,6.39,19.2,89,7.0,5.69,-0.9,39.1,0
50,374,670426,Phillip Diehl,374,2541.0,86.1,84.68,5.24,17.2,5,5.7,5.69,2.7,37.0,0
51,3303,663158,Robert Suarez,3303,2245.0,96.3,96.87,6.77,26.7,57,7.0,6.14,-1.24,44.2,0
52,4680,573204,Caleb Thielbar,4680,2382.0,84.8,84.71,6.28,28.3,85,7.4,6.05,0.43,53.8,0
53,6855,656222,Jalen Beeks,6856,2093.0,89.7,89.77,6.36,21.5,153,8.8,6.05,0.98,48.9,0
54,3777,656234,Jake Bird,3777,2348.0,89.8,89.43,5.82,21.2,92,9.0,5.29,-2.39,18.9,0
55,485,543054,Jarred Cosart,485,2122.0,88.3,88.79,6.52,13.2,19,16.7,5.7,-2.42,,0
56,74,642657,Cristofer Ogando,74,2356.0,87.4,87.02,6.08,11.8,1,5.9,5.76,-2.34,30.4,0
57,119,671162,Connor Thomas,119,2217.0,87.0,86.24,5.83,16.1,2,6.5,5.18,1.23,29.1,0
58,858,681402,Gus Varland,858,2224.0,92.4,92.51,6.38,21.8,22,10.2,5.32,-1.56,45.8,0
59,3140,621249,Duane Underwood Jr.,3141,2040.0,90.0,90.28,6.44,21.6,71,8.6,6.18,-2.15,47.7,0
60,45,622703,Ronald Herrera,45,2027.0,87.0,87.93,6.77,21.4,1,7.1,5.05,-2.03,,0
61,233,518468,Michael Blazek,233,2315.0,90.5,90.3,6.15,11.1,6,9.5,5.82,-1.91,,0
62,1073,571787,David Holmberg,1075,1980.0,83.1,83.73,6.66,12.3,31,11.5,6.16,1.47,,0
63,687,600944,David Paulino,689,2295.0,86.1,85.79,6.22,24.5,9,5.5,6.93,-1.61,56.4,0
64,21,543261,Jason Gurka,21,2616.0,83.5,83.06,5.97,0.0,1,20.0,5.86,2.26,,0
65,2415,457915,Javy Guerra,2417,2086.0,89.1,88.3,5.78,18.2,40,6.3,6.87,-0.65,70.0,0
