,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
0,480,605301,Williams Jerez,480,1979.0,91.7,90.92,5.81,20.2,17,14.3,5.66,2.66,,0
1,90,543357,Jordan Jankowski,90,2256.0,87.4,86.75,5.84,22.7,2,9.1,5.95,-1.76,,0
2,7921,664208,Phil Maton,7955,2702.0,84.7,85.76,6.99,26.8,177,8.8,5.3,-1.41,29.6,0
3,380,592570,Akeel Morris,381,1908.0,86.3,86.17,6.17,16.7,12,12.5,5.97,-1.29,,0
4,12012,650644,Aaron Civale,12016,2557.0,86.3,85.51,5.7,21.7,201,6.5,6.25,-0.78,46.1,0
5,163,543726,Robbie Ross Jr.,163,2229.0,86.8,85.85,5.78,20.5,4,9.1,5.26,2.58,,0
6,26,640461,Chad Pinder,26,1660.0,65.8,64.54,5.49,0.0,2,28.6,5.46,-2.56,21.5,0
7,378,643400,Dusten Knight,378,1903.0,83.2,83.1,6.32,21.7,8,8.7,6.19,-0.06,62.6,0
8,1156,669618,Joe Barlow,1156,2285.0,89.0,88.68,6.04,20.3,27,9.0,5.83,-0.3,54.4,0
9,1166,519301,Sammy Solís,1166,2223.0,88.9,89.32,6.58,25.0,30,10.4,6.09,1.87,,0
10,99,645801,Mike Ford,99,1429.0,70.7,68.91,4.88,3.4,2,6.9,6.58,-1.3,51.8,0
11,1605,681347,Mike Burrows,1605,2217.0,89.9,90.14,6.43,23.9,33,8.0,6.14,-1.36,47.8,0
12,21448,502043,Kyle Gibson,21458,2183.0,88.0,88.82,6.74,20.3,461,8.2,6.34,-2.07,43.9,0
13,81,691094,Randy Wynne,81,2151.0,85.0,84.82,6.16,12.5,2,8.3,5.41,-2.13,30.8,0
14,1073,571787,David Holmberg,1075,1980.0,83.1,83.73,6.66,12.3,31,11.5,6.16,1.47,,0
15,2582,806185,Hayden Birdsong,2582,2257.0,90.2,90.56,6.51,25.4,80,13.1,6.4,-1.54,44.6,0
16,7361,502188,Jeff Samardzija,7382,2422.0,89.3,88.87,6.01,20.4,103,5.5,5.97,-2.68,29.8,0
