,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
0,20073,453286,Max Scherzer,20099,2299.0,88.9,88.53,6.12,31.9,288,5.7,5.38,-3.33,29.0,0
1,796,571858,Branden Kline,796,2132.0,92.1,91.96,6.11,20.2,22,10.8,6.57,-1.86,54.8,0
2,2348,676282,Joey Cantillo,2348,1911.0,84.5,86.16,7.36,27.0,57,10.1,5.88,0.47,53.9,0
3,251,686790,Trevor McDonald,251,2439.0,88.8,89.4,6.57,21.4,3,4.3,5.31,-1.75,33.0,0
4,15,680572,Adam Kloffenstein,15,2251.0,89.6,89.49,6.35,0.0,0,0.0,5.88,-1.04,,0
5,1352,677865,Justin Bruihl,1352,2326.0,85.1,85.63,6.64,18.4,22,5.9,5.52,3.04,38.2,0
6,1345,677958,Kumar Rocker,1345,2159.0,90.9,91.74,6.84,20.5,29,8.5,5.68,-2.2,30.4,0
7,49,656004,Carlos Sanabria,49,2298.0,89.0,88.7,6.19,16.7,3,25.0,6.28,-1.25,46.8,0
8,6613,607644,John Means,6614,2343.0,86.9,86.37,5.99,20.6,79,4.9,6.57,0.66,49.7,1
9,290,687075,Brandon Sproat,290,2077.0,90.3,90.29,6.36,20.2,7,8.3,5.58,-2.14,33.3,0
10,3323,453192,Andrew Miller,3372,2361.0,86.0,86.9,6.73,31.2,80,9.6,5.41,2.25,14.3,0
11,36,680983,Kelvin Cáceres,36,2315.0,89.7,88.29,5.55,12.5,2,25.0,5.44,-1.46,25.9,0
12,3252,683004,Jack Leiter,3253,2333.0,92.2,92.79,6.82,21.9,84,10.3,5.62,-1.75,46.5,0
13,9583,663978,Chris Paddack,9583,2081.0,88.9,89.65,6.81,21.7,124,5.1,6.2,-2.42,47.8,0
14,3123,681293,Spencer Arrighetti,3123,2445.0,87.4,88.51,7.12,25.7,84,10.7,5.04,-1.78,24.0,0
15,2090,660623,Huascar Ynoa,2090,2235.0,90.5,90.15,6.03,24.5,43,8.2,6.38,-1.26,48.5,0
16,198,594985,Ben Rowen,198,2272.0,75.6,74.63,5.92,16.3,2,4.1,2.26,-2.9,-36.0,0
17,8880,686613,Hunter Brown,8880,2213.0,92.0,92.46,6.65,26.7,178,8.2,6.19,-1.65,56.7,0
18,3447,663687,Hogan Harris,3447,2289.0,86.7,86.77,6.56,21.1,90,10.4,5.98,2.53,50.9,0
19,2724,641838,Kevin McCarthy,2724,2023.0,89.3,90.22,6.68,14.5,48,6.2,5.67,-2.37,39.0,0
20,4414,657024,Erik Swanson,4418,1981.0,89.7,90.31,6.7,25.8,71,6.5,6.2,-1.13,50.3,0
21,737,696131,Mason Black,737,2216.0,89.0,89.72,6.74,19.1,15,8.0,5.13,-2.1,22.6,0
22,1692,663969,Tyler Phillips,1692,2195.0,88.7,88.91,6.45,16.9,31,6.6,5.89,-1.26,29.7,0
23,1508,279571,Matt Belisle,1523,2103.0,87.1,88.06,6.85,19.9,26,6.6,6.08,-2.74,,0
24,2977,668964,Tobias Myers,2978,2145.0,88.6,89.34,6.69,20.9,51,6.5,5.89,-0.93,60.6,0
25,380,592570,Akeel Morris,381,1908.0,86.3,86.17,6.17,16.7,12,12.5,5.97,-1.29,,0
26,27,679922,Carlos Duran,27,2387.0,93.3,93.33,6.47,0.0,3,60.0,5.81,-2.62,22.5,0
27,905,668390,Cole Winn,905,2338.0,91.7,92.61,6.85,20.7,19,8.0,5.46,-1.74,38.9,0
28,592,660365,Hyeon-Jong Yang,592,2096.0,84.7,85.36,6.63,15.6,16,10.0,6.0,2.09,60.9,0
29,1922,689017,Landon Knack,1922,2393.0,88.1,87.44,5.88,23.6,37,7.9,5.79,-0.92,53.5,0
30,3771,677944,Slade Cecconi,3772,2338.0,88.6,88.86,6.54,19.5,51,5.1,5.76,-1.78,38.7,0
31,4031,666159,Matt Manning,4031,2083.0,88.8,89.81,6.88,16.4,85,7.8,5.7,-1.84,49.1,0
32,327,657566,Montana DuRapau,342,2641.0,88.3,88.47,6.1,23.3,8,9.3,5.86,-1.9,,0
33,1791,663804,Jackson Kowar,1791,2269.0,90.9,90.7,6.15,20.3,58,13.1,5.92,-1.24,42.6,0
34,4607,607219,Sal Romano,4658,2128.0,91.9,91.14,5.86,17.2,96,8.0,6.66,-2.0,36.1,0
35,1087,622097,Jake Thompson,1089,2046.0,88.1,87.74,6.1,17.0,31,11.0,6.18,-1.44,,0
36,774,663399,Brandon Waddell,774,2216.0,87.2,86.8,6.08,15.6,22,11.1,6.09,2.48,44.3,0
37,4414,657024,Erik Swanson,4418,1981.0,89.7,90.31,6.7,25.8,71,6.5,6.2,-1.13,50.3,0
38,9889,656288,Griffin Canning,9986,2254.0,89.8,89.02,5.84,22.0,215,8.7,5.88,-1.47,45.9,0
39,583,543238,Anthony Gose,583,2287.0,93.4,93.16,6.05,29.9,16,11.7,5.67,0.88,45.8,0
40,1110,543001,Ryan Carpenter,1111,2316.0,85.0,84.48,5.95,13.2,17,5.6,5.99,3.17,,0
41,1356,656578,Andre Jackson,1356,2076.0,89.7,90.21,6.58,21.8,32,9.2,5.99,-1.65,54.0,0
42,3111,671345,Jason Foley,3111,2054.0,94.1,94.7,6.64,18.2,47,5.7,5.68,-1.88,30.3,1
43,8,571875,Jake Lamb,8,1580.0,56.6,54.98,4.86,0.0,0,0.0,6.25,-1.46,30.4,0
44,5172,622694,Elieser Hernández,5172,2140.0,86.4,86.3,6.28,21.9,92,7.1,5.39,-2.16,41.0,0
45,171,592422,Jason Hursh,173,2094.0,91.7,90.78,5.8,15.2,3,6.5,6.14,-1.15,,0
46,16558,657277,Logan Webb,16559,1988.0,88.4,89.38,6.82,22.9,246,5.7,5.03,-1.65,20.6,0
47,833,680755,Braydon Fisher,834,2369.0,87.9,86.83,5.66,30.8,18,9.0,6.47,0.27,49.1,0
